forecast_week,sku_id,dc_id,dc_name,customer,uom,forecast_qty
2026-W15,SKU0001,WA,Washington DC,Target,CASE,4289
2026-W16,SKU0001,WA,Washington DC,Target,CASE,4036
2026-W17,SKU0001,WA,Washington DC,Target,CASE,4531
2026-W18,SKU0001,WA,Washington DC,Target,CASE,4487
2026-W19,SKU0001,WA,Washington DC,Target,CASE,4239
2026-W20,SKU0001,WA,Washington DC,Target,CASE,4049
2026-W21,SKU0001,WA,Washington DC,Target,CASE,4443
2026-W22,SKU0001,WA,Washington DC,Target,CASE,4259
2026-W23,SKU0001,WA,Washington DC,Target,CASE,4379
2026-W24,SKU0001,WA,Washington DC,Target,CASE,4265
2026-W25,SKU0001,WA,Washington DC,Target,CASE,4135
2026-W26,SKU0001,WA,Washington DC,Target,CASE,4444
2026-W15,SKU0001,TX,Texas DC,Target,CASE,4919
2026-W16,SKU0001,TX,Texas DC,Target,CASE,5281
2026-W17,SKU0001,TX,Texas DC,Target,CASE,5366
2026-W18,SKU0001,TX,Texas DC,Target,CASE,5266
2026-W19,SKU0001,TX,Texas DC,Target,CASE,5300
2026-W20,SKU0001,TX,Texas DC,Target,CASE,5489
2026-W21,SKU0001,TX,Texas DC,Target,CASE,5234
2026-W22,SKU0001,TX,Texas DC,Target,CASE,4990
2026-W23,SKU0001,TX,Texas DC,Target,CASE,5532
2026-W24,SKU0001,TX,Texas DC,Target,CASE,4828
2026-W25,SKU0001,TX,Texas DC,Target,CASE,5008
2026-W26,SKU0001,TX,Texas DC,Target,CASE,5116
2026-W15,SKU0001,FL,Florida DC,Target,CASE,5072
2026-W16,SKU0001,FL,Florida DC,Target,CASE,5101
2026-W17,SKU0001,FL,Florida DC,Target,CASE,4602
2026-W18,SKU0001,FL,Florida DC,Target,CASE,4653
2026-W19,SKU0001,FL,Florida DC,Target,CASE,4902
2026-W20,SKU0001,FL,Florida DC,Target,CASE,4593
2026-W21,SKU0001,FL,Florida DC,Target,CASE,4500
2026-W22,SKU0001,FL,Florida DC,Target,CASE,4554
2026-W23,SKU0001,FL,Florida DC,Target,CASE,4773
2026-W24,SKU0001,FL,Florida DC,Target,CASE,4423
2026-W25,SKU0001,FL,Florida DC,Target,CASE,4735
2026-W26,SKU0001,FL,Florida DC,Target,CASE,4582
2026-W15,SKU0001,NV,Nevada DC,Walmart,CASE,6023
2026-W16,SKU0001,NV,Nevada DC,Walmart,CASE,5978
2026-W17,SKU0001,NV,Nevada DC,Walmart,CASE,5613
2026-W18,SKU0001,NV,Nevada DC,Walmart,CASE,5629
2026-W19,SKU0001,NV,Nevada DC,Walmart,CASE,5533
2026-W20,SKU0001,NV,Nevada DC,Walmart,CASE,5677
2026-W21,SKU0001,NV,Nevada DC,Walmart,CASE,5409
2026-W22,SKU0001,NV,Nevada DC,Walmart,CASE,5535
2026-W23,SKU0001,NV,Nevada DC,Walmart,CASE,5140
2026-W24,SKU0001,NV,Nevada DC,Walmart,CASE,5313
2026-W25,SKU0001,NV,Nevada DC,Walmart,CASE,5610
2026-W26,SKU0001,NV,Nevada DC,Walmart,CASE,5133
2026-W15,SKU0001,PA,Pennsylvania DC,Walmart,CASE,7041
2026-W16,SKU0001,PA,Pennsylvania DC,Walmart,CASE,7283
2026-W17,SKU0001,PA,Pennsylvania DC,Walmart,CASE,6282
2026-W18,SKU0001,PA,Pennsylvania DC,Walmart,CASE,7039
2026-W19,SKU0001,PA,Pennsylvania DC,Walmart,CASE,6562
2026-W20,SKU0001,PA,Pennsylvania DC,Walmart,CASE,6192
2026-W21,SKU0001,PA,Pennsylvania DC,Walmart,CASE,7488
2026-W22,SKU0001,PA,Pennsylvania DC,Walmart,CASE,6784
2026-W23,SKU0001,PA,Pennsylvania DC,Walmart,CASE,6228
2026-W24,SKU0001,PA,Pennsylvania DC,Walmart,CASE,6931
2026-W25,SKU0001,PA,Pennsylvania DC,Walmart,CASE,7137
2026-W26,SKU0001,PA,Pennsylvania DC,Walmart,CASE,6296
2026-W15,SKU0001,TX,Texas DC,Walmart,CASE,6237
2026-W16,SKU0001,TX,Texas DC,Walmart,CASE,6246
2026-W17,SKU0001,TX,Texas DC,Walmart,CASE,6045
2026-W18,SKU0001,TX,Texas DC,Walmart,CASE,6131
2026-W19,SKU0001,TX,Texas DC,Walmart,CASE,6295
2026-W20,SKU0001,TX,Texas DC,Walmart,CASE,5847
2026-W21,SKU0001,TX,Texas DC,Walmart,CASE,5794
2026-W22,SKU0001,TX,Texas DC,Walmart,CASE,6083
2026-W23,SKU0001,TX,Texas DC,Walmart,CASE,5857
2026-W24,SKU0001,TX,Texas DC,Walmart,CASE,6036
2026-W25,SKU0001,TX,Texas DC,Walmart,CASE,5843
2026-W26,SKU0001,TX,Texas DC,Walmart,CASE,5857
2026-W15,SKU0002,PA,Pennsylvania DC,Walmart,CASE,11289
2026-W16,SKU0002,PA,Pennsylvania DC,Walmart,CASE,11709
2026-W17,SKU0002,PA,Pennsylvania DC,Walmart,CASE,11309
2026-W18,SKU0002,PA,Pennsylvania DC,Walmart,CASE,11218
2026-W19,SKU0002,PA,Pennsylvania DC,Walmart,CASE,11678
2026-W20,SKU0002,PA,Pennsylvania DC,Walmart,CASE,11203
2026-W21,SKU0002,PA,Pennsylvania DC,Walmart,CASE,12464
2026-W22,SKU0002,PA,Pennsylvania DC,Walmart,CASE,12659
2026-W23,SKU0002,PA,Pennsylvania DC,Walmart,CASE,11883
2026-W24,SKU0002,PA,Pennsylvania DC,Walmart,CASE,12905
2026-W25,SKU0002,PA,Pennsylvania DC,Walmart,CASE,12675
2026-W26,SKU0002,PA,Pennsylvania DC,Walmart,CASE,12490
2026-W15,SKU0002,TX,Texas DC,Walmart,CASE,10423
2026-W16,SKU0002,TX,Texas DC,Walmart,CASE,10770
2026-W17,SKU0002,TX,Texas DC,Walmart,CASE,11017
2026-W18,SKU0002,TX,Texas DC,Walmart,CASE,10845
2026-W19,SKU0002,TX,Texas DC,Walmart,CASE,11384
2026-W20,SKU0002,TX,Texas DC,Walmart,CASE,11518
2026-W21,SKU0002,TX,Texas DC,Walmart,CASE,12177
2026-W22,SKU0002,TX,Texas DC,Walmart,CASE,11422
2026-W23,SKU0002,TX,Texas DC,Walmart,CASE,12431
2026-W24,SKU0002,TX,Texas DC,Walmart,CASE,12149
2026-W25,SKU0002,TX,Texas DC,Walmart,CASE,11774
2026-W26,SKU0002,TX,Texas DC,Walmart,CASE,12289
2026-W15,SKU0002,FL,Florida DC,Walmart,CASE,11470
2026-W16,SKU0002,FL,Florida DC,Walmart,CASE,11434
2026-W17,SKU0002,FL,Florida DC,Walmart,CASE,11485
2026-W18,SKU0002,FL,Florida DC,Walmart,CASE,10578
2026-W19,SKU0002,FL,Florida DC,Walmart,CASE,10609
2026-W20,SKU0002,FL,Florida DC,Walmart,CASE,9608
2026-W21,SKU0002,FL,Florida DC,Walmart,CASE,11183
2026-W22,SKU0002,FL,Florida DC,Walmart,CASE,10308
2026-W23,SKU0002,FL,Florida DC,Walmart,CASE,9851
2026-W24,SKU0002,FL,Florida DC,Walmart,CASE,9919
2026-W25,SKU0002,FL,Florida DC,Walmart,CASE,9462
2026-W26,SKU0002,FL,Florida DC,Walmart,CASE,10214
2026-W15,SKU0002,NV,Nevada DC,Walmart,CASE,10016
2026-W16,SKU0002,NV,Nevada DC,Walmart,CASE,9518
2026-W17,SKU0002,NV,Nevada DC,Walmart,CASE,9584
2026-W18,SKU0002,NV,Nevada DC,Walmart,CASE,10146
2026-W19,SKU0002,NV,Nevada DC,Walmart,CASE,10747
2026-W20,SKU0002,NV,Nevada DC,Walmart,CASE,10372
2026-W21,SKU0002,NV,Nevada DC,Walmart,CASE,10927
2026-W22,SKU0002,NV,Nevada DC,Walmart,CASE,10953
2026-W23,SKU0002,NV,Nevada DC,Walmart,CASE,10403
2026-W24,SKU0002,NV,Nevada DC,Walmart,CASE,11189
2026-W25,SKU0002,NV,Nevada DC,Walmart,CASE,10900
2026-W26,SKU0002,NV,Nevada DC,Walmart,CASE,11409
2026-W15,SKU0002,PA,Pennsylvania DC,Target,CASE,9879
2026-W16,SKU0002,PA,Pennsylvania DC,Target,CASE,8538
2026-W17,SKU0002,PA,Pennsylvania DC,Target,CASE,9103
2026-W18,SKU0002,PA,Pennsylvania DC,Target,CASE,9445
2026-W19,SKU0002,PA,Pennsylvania DC,Target,CASE,9182
2026-W20,SKU0002,PA,Pennsylvania DC,Target,CASE,8681
2026-W21,SKU0002,PA,Pennsylvania DC,Target,CASE,8615
2026-W22,SKU0002,PA,Pennsylvania DC,Target,CASE,8313
2026-W23,SKU0002,PA,Pennsylvania DC,Target,CASE,9133
2026-W24,SKU0002,PA,Pennsylvania DC,Target,CASE,8956
2026-W25,SKU0002,PA,Pennsylvania DC,Target,CASE,8977
2026-W26,SKU0002,PA,Pennsylvania DC,Target,CASE,9076
2026-W15,SKU0002,TX,Texas DC,Target,CASE,8602
2026-W16,SKU0002,TX,Texas DC,Target,CASE,9101
2026-W17,SKU0002,TX,Texas DC,Target,CASE,8891
2026-W18,SKU0002,TX,Texas DC,Target,CASE,8594
2026-W19,SKU0002,TX,Texas DC,Target,CASE,7676
2026-W20,SKU0002,TX,Texas DC,Target,CASE,9080
2026-W21,SKU0002,TX,Texas DC,Target,CASE,8397
2026-W22,SKU0002,TX,Texas DC,Target,CASE,8467
2026-W23,SKU0002,TX,Texas DC,Target,CASE,9613
2026-W24,SKU0002,TX,Texas DC,Target,CASE,8895
2026-W25,SKU0002,TX,Texas DC,Target,CASE,9467
2026-W26,SKU0002,TX,Texas DC,Target,CASE,9307
2026-W15,SKU0002,FL,Florida DC,Target,CASE,8612
2026-W16,SKU0002,FL,Florida DC,Target,CASE,7574
2026-W17,SKU0002,FL,Florida DC,Target,CASE,8663
2026-W18,SKU0002,FL,Florida DC,Target,CASE,8444
2026-W19,SKU0002,FL,Florida DC,Target,CASE,8636
2026-W20,SKU0002,FL,Florida DC,Target,CASE,8863
2026-W21,SKU0002,FL,Florida DC,Target,CASE,7915
2026-W22,SKU0002,FL,Florida DC,Target,CASE,8105
2026-W23,SKU0002,FL,Florida DC,Target,CASE,8419
2026-W24,SKU0002,FL,Florida DC,Target,CASE,8624
2026-W25,SKU0002,FL,Florida DC,Target,CASE,7907
2026-W26,SKU0002,FL,Florida DC,Target,CASE,7650
2026-W15,SKU0002,NV,Nevada DC,Target,CASE,7799
2026-W16,SKU0002,NV,Nevada DC,Target,CASE,8066
2026-W17,SKU0002,NV,Nevada DC,Target,CASE,8090
2026-W18,SKU0002,NV,Nevada DC,Target,CASE,8544
2026-W19,SKU0002,NV,Nevada DC,Target,CASE,7849
2026-W20,SKU0002,NV,Nevada DC,Target,CASE,9017
2026-W21,SKU0002,NV,Nevada DC,Target,CASE,8232
2026-W22,SKU0002,NV,Nevada DC,Target,CASE,7698
2026-W23,SKU0002,NV,Nevada DC,Target,CASE,7315
2026-W24,SKU0002,NV,Nevada DC,Target,CASE,8381
2026-W25,SKU0002,NV,Nevada DC,Target,CASE,7089
